municities,total_yellow,total_white,grand_total
 Bacacay ,                      -,                      -,0
 Camalig ,                      -,                      -,0
 Daraga ,94,                      -,94
 Guinobatan ,160,25,185
 Jovellar ,                      -,                      -,0
 Legazpi City ,                      -,                      -,0
 Libon ,45,11,56
 Ligao  ,787,45,832
 Malilipot ,                      -,1,1
 Malinao ,                      -,                      -,0
 Manito ,                      -,                      -,0
 Oas ,                      -,                      -,0
 Pio Duran ,9,3,12
 Polangui ,184,5,189
 Rapu-Rapu ,                      -,                      -,0
 Sto. Domingo ,                      -,                      -,0
 Tabaco City ,                      -,30,30
 Tiwi ,                      -,                      -,0
 Basud ,                      -,                      -,0
 Capalonga ,                      -,22,22
 Daet ,14,14,28
 Jose Panganiban ,                      -,                      -,0
 Labo ,91,142,233
 Mercedes ,6,9,15
 Paracale ,20,2,22
 San Lorenzo Ruiz ,31,2,33
 San Vicente ,2,                      -,2
 Sta. Elena ,                      -,31,31
 Talisay ,2,2,4
 Vinzons ,27,0,27
 Baao ,149,3,152
 Balatan ,                      -,                      -,0
 Bato ,                      -,                      -,0
 Bombon ,                      -,                      -,0
 BUHI ,                      -,                      -,0
 Bula ,91,5,96
 Cabusao ,                      -,                      -,0
 Calabanga ,"2,156",                      -,2156
 Camaligan ,                      -,                      -,0
 Canaman ,                      -,                      -,0
 Caramoan ,                      -,                      -,0
 Del Gallego ,                      -,                      -,0
 Gainza ,                      -,                      -,0
 Garchitorena ,                      -,                      -,0
 Goa ,                      -,                      -,0
 Iriga ,866,10,876
 Lagonoy ,                      -,                      -,0
 Libmanan ,5,17,22
 Lupi ,7,1,8
 Magarao ,36,                      -,36
 Milaor ,                      -,                      -,0
 Minalabac ,103,13,116
 Nabua ,15,12,27
 Naga City ,285,1,286
 Ocampo ,82,                      -,82
 Pamplona ,                      -,                      -,0
 Pasacao ,                      -,                      -,0
 Pili ,454,                      -,454
 Presentacion (Parubcan) ,,,0
 Ragay ,                      -,                      -,0
 Sag¤ay ,141,                      -,141
 San Fernando ,                      -,                      -,0
 San Jose ,5,                      -,5
 Sipocot ,8,1,9
 Siruma ,                      -,                      -,0
 Tigaon ,                      -,                      -,0
 Tinambac ,29,                      -,29
 Bagamonoc ,0,0,0
 Baras ,0,0,0
 Bato ,0,0,0
 Caramoran ,0,0,0
 Gigmoto ,0,0,0
 Pandan ,0,0,0
 Panganiban ,0,0,0
 San Andres ,0,0,0
 San Miguel ,0,0,0
 Viga ,0,0,0
 Virac ,0,0,0
 Aroroy ,8,218.5,226.5
 Baleno ,1,17.25,18.25
 Balud ,                      -,5,5
 Batuan ,                      -,0,0
 Cataingan ,3,964.25,967.25
 Cawayan ,51,1150,1201
 Claveria ,                      -,0,0
 Dimasalang ,8,44.75,52.75
 Esperanza ,                      -,244,244
 Mandaon ,132,303,435
 Masbate City ,7,36.25,43.25
 Milagros ,22,19.75,41.75
 Mobo ,9,143.5,152.5
 Monreal ,41,199.5,240.5
 Palanas ,1,472.5,473.5
 Pio V. Corpuz ,                      -,2,2
 Placer ,                      -,195,195
 San Fernando ,                      -,0,0
 San Jacinto ,10,163.25,173.25
 San Pascual ,                      -,63.25,63.25
 Uson ,22,188,210
Barcelona,0,0,0
Bulan,0,0,0
Bulusan,0,0,0
Casiguran,0,0,0
Castilla,0,0,0
Donsol,0,0,0
Gubat,0,0,0
Irosin,0,0,0
Juban,0,0,0
Magallanes,0,0,0
Matnog,0,0,0
Pilar,0,0,0
Prieto Diaz,0,0,0
Sta. Magdalena,0,0,0
Sorsogon City,0,0,0
