id,municities,npss_irri,vs_irri,rs_irri,ms_irri,total_irri,npss_rain,vs_rain,rs_rain,ms_rain,total_rain,npss_up,vs_up,rs_up,ms_up,total_up,npss_gt,vs_gt,rs_gt,ms_gt,total_gt
72,Bacacay,414.4431736,339.914451,80.00666268,191.8182587,1026.182546,0.247197658,2.517978381,2.270780724,0,5.035956763,0,0,0,0,0,414.6903713,342.4324294,82.2774434,191.8182587,1031.218503
74,Camalig,764.8094806,324.9273265,6.414423617,0,1096.151231,150.7166156,6.86735738,6.15074177,0,163.7347148,0,0,0,0,0,915.5260962,331.7946838,12.56516539,0,1259.885945
75,Daraga,0.503529587,2.414258859,4.62173957,6.919193572,14.45872159,1.128912898,4.515651592,7.902390286,9.031303184,22.57825796,0,0,0,0,0,1.632442484,6.929910451,12.52412986,15.95049676,37.03697955
76,Guinobatan,220.2247488,313.1980808,151.3248358,241.8736879,926.6213533,0.320568138,2.766660436,6.697140618,8.502096639,18.28646583,0,0,0,0,0,220.5453169,315.9647413,158.0219765,250.3757846,944.9078192
77,Jovellar,0.255302402,0.765907205,0.510604803,0,1.531814409,0.16522278,1.653925071,1.488702292,0,3.307850143,0,0,0,4.717277213,4.717277213,0.420525181,2.419832276,1.999307095,4.717277213,9.556941765
78,Legazpi City,278.5192432,2.304702148,6.584863281,17.12064453,304.5294531,271.0898438,6.654570313,16.56449219,21.17953125,315.4884375,0,0,0,0,0,549.6090869,8.959272461,23.14935547,38.30017578,620.0178906
79,Libon,363.1251953,493.1255859,130.0003906,0,986.2511719,1.356790161,12.59442667,11.23763651,0,25.18885334,0,0,0,0,0,364.4819855,505.7200126,141.2380271,0,1011.440025
80,Ligao City,879.231698,194.070094,51.088396,0,1124.390188,0.850534137,8.076671196,7.226137059,0,16.15334239,0,0,0,0,0,880.0822321,202.1467652,58.31453305,0,1140.54353
81,Malilipot,48.76042332,65.78126996,17.02084664,0,131.5625399,0,0,0,0,0,0,0,0,1.640625,1.640625,48.76042332,65.78126996,17.02084664,1.640625,133.2031649
82,Malinao,1306.109089,245.4650839,99.81907929,126.4288983,1777.822151,148.6284998,1.156497803,2.826994629,3.597993164,156.2099854,0,0,0,0.036987977,0.036987977,1454.737589,246.6215817,102.6460739,130.0638795,1934.069124
83,Manito,241.8224869,2.137460635,1.424973757,0,245.3849213,6.69174E-05,0.001271431,0.003479707,0.004550386,0.009368442,0,0,0,0,0,241.8225538,2.138732067,1.428453464,0.004550386,245.3942897
84,Oas,73.83879689,120.4170002,115.8175018,583.2385126,893.3118115,0,0,0.012620869,0.016827826,0.029448695,0,0,0,17.85599281,17.85599281,73.83879689,120.4170002,115.8301226,601.1113333,911.197253
85,Pio Duran,0,0.403332158,2.023705639,46.60378721,49.03082501,0,0.035314314,0.093047911,0.120625206,0.248987431,0,0,0,1.172202729,1.172202729,0,0.438646472,2.11675355,47.89661515,50.45201517
86,Polangui,1025.166564,402.4216202,146.1700565,25.915,1599.67324,15.56944839,4.945675401,4.376227013,0,24.8913508,0,0,0,0,0,1040.736012,407.3672956,150.5462835,25.915,1624.564591
87,Rapu-Rapu,5.001276163,5.851164006,4.04670742,63.6765891,78.57573669,6.061179798,7.058774827,2.770425491,3.545660924,19.43604104,11.9,0,0,0,0,22.96245596,12.90993883,6.817132911,67.22225003,109.9117777
88,Santo Domingo,244.5895157,273.1142393,36.69346146,33.76714771,588.1643642,0.010906423,0.120310131,0.30639828,0.393989143,0.831603978,0,0,0,0,0,244.6004221,273.2345495,36.99985974,34.16113686,588.9959682
89,Tabaco City,761.6655676,324.406955,81.32626038,31.66818464,1199.066968,14.23346813,1.798257947,4.227433182,5.325286733,25.58444599,0,0,0,1.214858055,1.214858055,775.8990358,326.2052129,85.55369356,38.20832943,1225.866272
90,Tiwi,425.7924001,331.7049539,49.47831436,59.73838829,866.7140566,2.064214022,0.256856089,0.449498156,0.513712178,3.284280446,0,0,0,0,0,427.8566141,331.9618099,49.92781252,60.25210046,869.9983371
333,Basud,299.9635035,379.6589168,109.1213858,147.1763995,935.9202057,11.49187752,20.67381081,18.96204484,19.56022309,70.68795626,0,0,0,0,0,311.4553811,400.3327277,128.0834307,166.7366226,1006.608162
334,Capalonga,175.0715307,233.9645922,59.2145922,0.321530733,468.5722459,13.46826625,23.53477787,20.26300234,20.39298144,77.6590279,0,0,0,0,0,188.539797,257.4993701,79.47759454,20.71451218,546.2312738
335,Daet,185.4765884,257.9824421,113.2242275,250.9658631,807.649121,3.580372589,6.399645396,5.797073244,5.955600873,21.7326921,0,0,0,0,0,189.056961,264.3820874,119.0213007,256.9214639,829.3818131
336,Jose Panganiban,113.1277652,151.8832957,39.38329574,0.627765245,305.022122,0.189000449,1.72802826,4.239082537,5.400109452,11.5562207,0,0,0,0,0,113.3167657,153.611324,43.62237827,6.027874697,316.5783427
337,Labo,72.5011467,107.1261862,74.4582701,250.4609056,504.5465086,56.70170402,80.13973196,31.91067577,16.94529567,185.6974074,30,20,20,18.85726581,88.85726581,159.2028507,207.2659182,126.3689459,286.2634671,779.1011819
338,Mercedes,63.31042751,85.21878254,22.39128254,0.482927512,171.4034201,4.910411202,8.400379691,6.879083064,6.778229149,26.96810311,0,0,0,0,0,68.22083871,93.61916223,29.2703656,7.261156661,198.3715232
339,Paracale,385.3092629,515.8652888,131.8277888,1.271762941,1034.274104,28.87401202,41.75011701,18.83029094,11.90837189,101.3627919,0,0,0,0,0,414.183275,557.6154058,150.6580798,13.18013483,1135.636895
340,San Lorenzo Ruiz,45.00004172,60.00012516,15.00012516,4.17191E-05,120.0003338,0,0,0,0,0,0,0,0,0,0,45.00004172,60.00012516,15.00012516,4.17191E-05,120.0003338
341,San Vicente,45.0899256,55.71477681,10.71477681,0.089925604,111.6094048,0.046115856,0.430194488,1.060004183,1.351851102,2.88816563,0,0,0,0,0,45.13604146,56.1449713,11.77478099,1.441776706,114.4975705
342,Santa Elena,90.48980646,124.5206649,48.77684929,85.38059067,349.1679113,0.386828769,3.539022507,8.682923677,11.06145988,23.67023483,0,0,0,0,0,90.87663523,128.0596874,57.45977297,96.44205055,372.8381461
